date;code_insee_region;region;tmin;tmax;tmoy
16/05/2016;76;Occitanie;7.63;19.95;13.79
16/05/2016;52;Pays de la Loire;4.55;18.1;11.32
17/05/2016;75;Nouvelle-Aquitaine;8.31;19.41;13.86
17/05/2016;28;Normandie;4.8;17.28;11.04
17/05/2016;76;Occitanie;9.97;21.45;15.71
18/05/2016;84;Auvergne-RhÃ´ne-Alpes;6.18;21.3;13.74
18/05/2016;11;ÃŽle-de-France;11.7;16.6;14.15
19/05/2016;75;Nouvelle-Aquitaine;10.48;17.81;14.14
19/05/2016;32;Hauts-de-France;7.92;16.3;12.11
21/05/2016;94;Corse;12.55;24.15;18.35
21/05/2016;24;Centre-Val de Loire;9.73;25.33;17.53
21/05/2016;52;Pays de la Loire;9.75;23.9;16.83
21/05/2016;84;Auvergne-RhÃ´ne-Alpes;7.78;27.24;17.51
22/05/2016;76;Occitanie;10.64;18.22;14.43
22/05/2016;93;Provence-Alpes-CÃ´te d'Azur;11.3;23.73;17.52
24/05/2016;84;Auvergne-RhÃ´ne-Alpes;7.01;16.77;11.89
24/05/2016;44;Grand Est;8.97;14.64;11.81
24/05/2016;53;Bretagne;5.8;18.67;12.24
25/05/2016;76;Occitanie;12.32;22.21;17.26
25/05/2016;11;ÃŽle-de-France;7.08;19.94;13.51
25/05/2016;32;Hauts-de-France;6.26;16.82;11.54
26/05/2016;93;Provence-Alpes-CÃ´te d'Azur;11.93;24.68;18.31
27/05/2016;28;Normandie;10.56;21.92;16.24
27/05/2016;53;Bretagne;9.42;19.8;14.61
27/05/2016;84;Auvergne-RhÃ´ne-Alpes;11.56;27.53;19.55
28/05/2016;53;Bretagne;10.5;21.0;15.75
28/05/2016;44;Grand Est;12.7;24.71;18.71
29/05/2016;94;Corse;16.85;23.1;19.98
29/05/2016;27;Bourgogne-Franche-ComtÃ©;13.25;19.37;16.31
29/05/2016;44;Grand Est;13.51;20.09;16.8
